sample_alias	file_stable_id	archive_ebi_fullpath
gonl-6a	EGAF00000515009	/fire/A/ega/vol1/EGAR00001189902/fastq/101229_I224_FC812M1ABXX_L7_HUMrutREEDIAAPE_1.fq.gz.gpg
gonl-6a	EGAF00000515010	/fire/A/ega/vol1/EGAR00001189902/fastq/101229_I224_FC812M1ABXX_L7_HUMrutREEDIAAPE_2.fq.gz.gpg
gonl-6a	EGAF00000515011	/fire/A/ega/vol1/EGAR00001189902/fastq/110123_I327_FC80TK3ABXX_L5_HUMrutREEDIAAPE_1.fq.gz.gpg
gonl-6a	EGAF00000515012	/fire/A/ega/vol1/EGAR00001189902/fastq/110123_I327_FC80TK3ABXX_L5_HUMrutREEDIAAPE_2.fq.gz.gpg
gonl-6a	EGAF00000515013	/fire/A/ega/vol1/EGAR00001189902/fastq/110101_I237_FC816M1ABXX_L7_HUMrutREEDIABPE_1.fq.gz.gpg
gonl-6a	EGAF00000515014	/fire/A/ega/vol1/EGAR00001189902/fastq/110101_I237_FC816M1ABXX_L7_HUMrutREEDIABPE_2.fq.gz.gpg
gonl-6b	EGAF00000515015	/fire/A/ega/vol1/EGAR00001189903/fastq/101229_I224_FC812M1ABXX_L8_HUMrutREFDIAAPE_1.fq.gz.gpg
gonl-6b	EGAF00000515016	/fire/A/ega/vol1/EGAR00001189903/fastq/101229_I224_FC812M1ABXX_L8_HUMrutREFDIAAPE_2.fq.gz.gpg
gonl-6b	EGAF00000515017	/fire/A/ega/vol1/EGAR00001189903/fastq/110101_I237_FC816M1ABXX_L8_HUMrutREFDIABPE_1.fq.gz.gpg
gonl-6b	EGAF00000515018	/fire/A/ega/vol1/EGAR00001189903/fastq/110101_I237_FC816M1ABXX_L8_HUMrutREFDIABPE_2.fq.gz.gpg
gonl-6b	EGAF00000515019	/fire/A/ega/vol1/EGAR00001189903/fastq/110122_I297_FC8198RABXX_L3_HUMrutREFDIABPE_1.fq.gz.gpg
gonl-6b	EGAF00000515020	/fire/A/ega/vol1/EGAR00001189903/fastq/110122_I297_FC8198RABXX_L3_HUMrutREFDIABPE_2.fq.gz.gpg
gonl-6c	EGAF00000515021	/fire/A/ega/vol1/EGAR00001189904/fastq/101229_I297_FC812MKABXX_L1_HUMrutREGDIAAPE_1.fq.gz.gpg
gonl-6c	EGAF00000515022	/fire/A/ega/vol1/EGAR00001189904/fastq/101229_I297_FC812MKABXX_L1_HUMrutREGDIAAPE_2.fq.gz.gpg
gonl-6c	EGAF00000515023	/fire/A/ega/vol1/EGAR00001189904/fastq/110122_I168_FC8198NABXX_L6_HUMrutREGDIAAPE_1.fq.gz.gpg
gonl-6c	EGAF00000515024	/fire/A/ega/vol1/EGAR00001189904/fastq/110122_I168_FC8198NABXX_L6_HUMrutREGDIAAPE_2.fq.gz.gpg
gonl-6c	EGAF00000515025	/fire/A/ega/vol1/EGAR00001189904/fastq/110115_I114_FC81CBLABXX_L4_HUMrutREGDIABPE_1.fq.gz.gpg
gonl-6c	EGAF00000515026	/fire/A/ega/vol1/EGAR00001189904/fastq/110115_I114_FC81CBLABXX_L4_HUMrutREGDIABPE_2.fq.gz.gpg
gonl-7a	EGAF00000513935	/fire/A/ega/vol1/EGAR00001189728/fastq/110106_I288_FC819G5ABXX_L3_HUMrutRKXDIAAPE_1.fq.gz.gpg
gonl-7a	EGAF00000513936	/fire/A/ega/vol1/EGAR00001189728/fastq/110106_I288_FC819G5ABXX_L3_HUMrutRKXDIAAPE_2.fq.gz.gpg
gonl-7a	EGAF00000513937	/fire/A/ega/vol1/EGAR00001189728/fastq/110127_I438_FC819A4ABXX_L8_HUMrutRKXDIAAPE_1.fq.gz.gpg
gonl-7a	EGAF00000513938	/fire/A/ega/vol1/EGAR00001189728/fastq/110127_I438_FC819A4ABXX_L8_HUMrutRKXDIAAPE_2.fq.gz.gpg
gonl-7a	EGAF00000513939	/fire/A/ega/vol1/EGAR00001189728/fastq/110104_I145_FC812PBABXX_L1_HUMrutRKXDIABPE_1.fq.gz.gpg
